Code commune;Libellé commune;Libellé région;Libellé typologie;Population municipale 2016
01236;Marsonnas;Auvergne-Rhône-Alpes;Communes peu denses;981
01237;Martignat;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;1 627
01238;Massieux;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;2 519
01239;Massignieu-de-Rives;Auvergne-Rhône-Alpes;Communes peu denses;613
01240;Matafelon-Granges;Auvergne-Rhône-Alpes;Communes très peu denses;645
01241;Meillonnas;Auvergne-Rhône-Alpes;Communes peu denses;1 332
01242;Mérignat;Auvergne-Rhône-Alpes;Communes très peu denses;126
01243;Messimy-sur-Saône;Auvergne-Rhône-Alpes;Communes peu denses;1 210
01244;Meximieux;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;7 669
01245;Bohas-Meyriat-Rignat;Auvergne-Rhône-Alpes;Communes peu denses;895
01246;Mézériat;Auvergne-Rhône-Alpes;Communes peu denses;2 134
01247;Mijoux;Auvergne-Rhône-Alpes;Communes très peu denses;340
01248;Mionnay;Auvergne-Rhône-Alpes;Communes peu denses;2 132
01249;Miribel;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;9 742
01250;Misérieux;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;1 938
01252;Mogneneins;Auvergne-Rhône-Alpes;Communes peu denses;774
01254;Montagnat;Auvergne-Rhône-Alpes;Communes peu denses;1 960
01255;Montagnieu;Auvergne-Rhône-Alpes;Communes peu denses;609
01257;Montanges;Auvergne-Rhône-Alpes;Communes très peu denses;341
01258;Montceaux;Auvergne-Rhône-Alpes;Communes peu denses;1 182
01259;Montcet;Auvergne-Rhône-Alpes;Communes peu denses;675
01260;Le Montellier;Auvergne-Rhône-Alpes;Communes très peu denses;293
01261;Monthieux;Auvergne-Rhône-Alpes;Communes peu denses;648
01262;Montluel;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;7 005
01263;Montmerle-sur-Saône;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;3 811
01264;Montracol;Auvergne-Rhône-Alpes;Communes peu denses;1 052
01265;Montréal-la-Cluse;Auvergne-Rhône-Alpes;Communes peu denses;3 409
01266;Montrevel-en-Bresse;Auvergne-Rhône-Alpes;Communes peu denses;2 463
01267;Nurieux-Volognat;Auvergne-Rhône-Alpes;Communes peu denses;1 030
01268;Murs-et-Gélignieux;Auvergne-Rhône-Alpes;Communes peu denses;255
01269;Nantua;Auvergne-Rhône-Alpes;Communes peu denses;3 482
01272;Neuville-les-Dames;Auvergne-Rhône-Alpes;Communes peu denses;1 505
01273;Neuville-sur-Ain;Auvergne-Rhône-Alpes;Communes peu denses;1 741
01274;Les Neyrolles;Auvergne-Rhône-Alpes;Communes peu denses;636
01275;Neyron;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;2 507
01276;Niévroz;Auvergne-Rhône-Alpes;Communes peu denses;1 577
01277;Nivollet-Montgriffon;Auvergne-Rhône-Alpes;Communes très peu denses;118
01279;Oncieu;Auvergne-Rhône-Alpes;Communes très peu denses;94
01280;Ordonnaz;Auvergne-Rhône-Alpes;Communes très peu denses;146
01281;Ornex;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;4 400
01282;Outriaz;Auvergne-Rhône-Alpes;Communes peu denses;261
01283;Oyonnax;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;22 559
01284;Ozan;Auvergne-Rhône-Alpes;Communes peu denses;674
01285;Parcieux;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;1 188
01286;Parves et Nattages;Auvergne-Rhône-Alpes;Communes peu denses;937
01288;Péron;Auvergne-Rhône-Alpes;Communes peu denses;2 584
01289;Péronnas;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;6 287
01290;Pérouges;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;1 205
01291;Perrex;Auvergne-Rhône-Alpes;Communes peu denses;824
01293;Peyriat;Auvergne-Rhône-Alpes;Communes très peu denses;164
01294;Peyrieu;Auvergne-Rhône-Alpes;Communes peu denses;862
01295;Peyzieux-sur-Saône;Auvergne-Rhône-Alpes;Communes peu denses;663
01296;Pirajoux;Auvergne-Rhône-Alpes;Communes peu denses;389
01297;Pizay;Auvergne-Rhône-Alpes;Communes peu denses;796
